TIME(y) R_IN(t) R_OUT(t) STOCK(t)  
38.75 1066 940.547 940.544
38.8333 1066 940.547 940.544
38.9167 1066 940.547 940.544
39 1066 940.547 940.544
39.0833 1148 1018.93 1018.92
39.1667 1148 1018.93 1018.92
39.25 1148 1018.93 1018.92
39.3333 1148 1018.93 1018.92
39.4167 1148 1018.93 1018.92
39.5 1148 1018.93 1018.92
39.5833 1148 1018.93 1018.92
39.6667 1148 1018.93 1018.92
39.75 1148 1018.93 1018.92
39.8333 1148 1018.93 1018.92
39.9167 1148 1018.93 1018.92
40 1148 1018.93 1018.92
40.0833 1148 1018.93 1018.92
40.1667 1148 1018.93 1018.92
40.25 1148 1018.93 1018.92
40.3333 1148 1018.93 1018.92
40.4167 1148 1018.93 1018.92
40.5 1148 1018.93 1018.92
40.5833 1148 1018.93 1018.92
40.6667 1148 1018.93 1018.92
40.75 1148 1018.93 1018.92
40.8333 1148 1018.93 1018.92
40.9167 1148 1018.93 1018.92
41 1148 1018.93 1018.92
41.0833 1148 1018.93 1018.92
41.1667 1148 1018.93 1018.92
41.25 1148 1018.93 1018.92
41.3333 1148 1018.93 1018.92
41.4167 1148 1018.93 1018.92
41.5 1148 1018.93 1018.92
41.5833 1148 1018.93 1018.92
41.6667 1148 1018.93 1018.92
41.75 1148 1018.93 1018.92
41.8333 1148 1018.93 1018.92
41.9167 1148 1018.93 1018.92
42 1148 1018.93 1018.92
42.0833 1230 1097.31 1097.3
42.1667 1230 1097.31 1097.3
42.25 1230 1097.31 1097.3
42.3333 1230 1097.31 1097.3
42.4167 1230 1097.31 1097.3
42.5 1230 1097.31 1097.3
42.5833 1230 1097.31 1097.3
42.6667 1230 1097.31 1097.3
42.75 1230 1097.31 1097.3
42.8333 1230 1097.31 1097.3
42.9167 1230 1097.31 1097.3
43 1230 1097.31 1097.3
43.0833 1230 1097.31 1097.3
43.1667 1230 1097.31 1097.3
43.25 1230 1097.31 1097.3
43.3333 1230 1097.31 1097.3
43.4167 1230 1097.31 1097.3
43.5 1230 1097.31 1097.3
43.5833 1230 1097.31 1097.3
43.6667 1230 1097.31 1097.3
